,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,AAPL200529C00140000,2020-05-27 12:27PM EDT,140.0,174.4,177.5,178.85,-2.9,-1.64%,1,1,334.38%
1,AAPL200529C00160000,2020-05-13 7:08PM EDT,160.0,113.01,0.0,0.0,0.0,-,2,0,0.00%
2,AAPL200529C00165000,2020-05-13 7:08PM EDT,165.0,108.46,0.0,0.0,0.0,-,2,0,0.00%
3,AAPL200529C00175000,2020-05-27 3:51PM EDT,175.0,142.7,142.45,143.9,36.69,+34.61%,5,0,248.44%
4,AAPL200529C00185000,2020-05-07 3:30PM EDT,185.0,118.35,132.45,133.9,0.0,-,7,0,226.56%
5,AAPL200529C00190000,2020-05-08 1:32PM EDT,190.0,117.8,127.45,128.9,0.0,-,2,0,216.41%
6,AAPL200529C00195000,2020-05-07 3:30PM EDT,195.0,108.28,122.45,123.9,0.0,-,-,0,206.25%
7,AAPL200529C00200000,2020-05-26 10:08AM EDT,200.0,120.95,117.45,118.9,0.0,-,20,41,196.88%
8,AAPL200529C00205000,2020-05-07 3:33PM EDT,205.0,98.11,112.45,113.9,0.0,-,-,0,186.72%
9,AAPL200529C00210000,2020-05-22 2:14PM EDT,210.0,108.48,107.45,108.9,0.0,-,2,13,177.34%
10,AAPL200529C00215000,2020-05-01 2:20PM EDT,215.0,75.48,102.5,103.9,0.0,-,2,0,174.61%
11,AAPL200529C00220000,2020-05-27 3:51PM EDT,220.0,97.7,97.55,98.85,-3.93,-3.87%,21,12,165.23%
12,AAPL200529C00225000,2020-05-21 9:41AM EDT,225.0,95.32,92.45,93.9,0.0,-,1,1,150.39%
13,AAPL200529C00230000,2020-05-26 9:36AM EDT,230.0,91.76,87.45,88.9,0.0,-,1,2,141.80%
14,AAPL200529C00235000,2020-05-20 9:35AM EDT,235.0,83.05,82.45,83.9,0.0,-,1,0,133.20%
15,AAPL200529C00240000,2020-05-26 3:58PM EDT,240.0,76.9,77.5,78.9,0.0,-,1,15,129.69%
16,AAPL200529C00242500,2020-05-26 1:32PM EDT,242.5,78.2,75.0,76.45,0.0,-,12,12,129.30%
17,AAPL200529C00245000,2020-05-07 3:32PM EDT,245.0,58.24,72.5,73.95,0.0,-,6,0,125.00%
18,AAPL200529C00247500,2020-05-26 9:31AM EDT,247.5,76.0,70.0,71.45,0.0,-,2,1,120.70%
19,AAPL200529C00250000,2020-05-26 10:55AM EDT,250.0,71.35,67.5,68.95,0.0,-,1,9,116.41%
20,AAPL200529C00252500,2020-05-07 3:34PM EDT,252.5,50.81,65.0,66.35,0.0,-,3,0,104.30%
21,AAPL200529C00255000,2020-05-27 12:00PM EDT,255.0,59.71,62.45,63.85,8.86,+17.42%,6,6,94.92%
22,AAPL200529C00257500,2020-05-07 3:08PM EDT,257.5,46.16,60.0,61.45,0.0,-,10,0,103.71%
23,AAPL200529C00260000,2020-05-26 9:59AM EDT,260.0,60.1,57.5,58.95,0.0,-,32,30,99.61%
24,AAPL200529C00262500,2020-05-20 1:26PM EDT,262.5,55.25,55.0,56.35,0.0,-,1,14,88.67%
25,AAPL200529C00265000,2020-05-27 2:19PM EDT,265.0,51.26,52.5,54.0,-1.07,-2.04%,2,74,93.75%
26,AAPL200529C00267500,2020-05-27 9:46AM EDT,267.5,49.12,49.95,51.35,-3.26,-6.22%,10,90,76.17%
27,AAPL200529C00270000,2020-05-27 2:23PM EDT,270.0,46.09,47.8,48.85,-2.37,-4.89%,2,156,91.21%
28,AAPL200529C00272500,2020-05-27 11:47AM EDT,272.5,42.44,45.0,46.4,-5.04,-10.61%,7,78,76.37%
29,AAPL200529C00275000,2020-05-27 3:35PM EDT,275.0,41.52,42.8,43.65,-2.19,-5.01%,18,253,75.00%
30,AAPL200529C00277500,2020-05-27 3:43PM EDT,277.5,40.13,40.05,41.3,-1.87,-4.45%,3,159,65.63%
31,AAPL200529C00280000,2020-05-27 3:50PM EDT,280.0,38.0,37.85,38.8,-0.09,-0.24%,46,290,73.73%
32,AAPL200529C00282500,2020-05-27 11:01AM EDT,282.5,31.85,35.05,36.3,-2.7,-7.81%,8,286,58.01%
33,AAPL200529C00285000,2020-05-27 2:51PM EDT,285.0,31.2,32.8,33.7,-0.45,-1.42%,28,694,60.55%
34,AAPL200529C00287500,2020-05-27 1:26PM EDT,287.5,27.84,30.0,31.35,-2.39,-7.91%,11,380,50.39%
35,AAPL200529C00290000,2020-05-27 3:58PM EDT,290.0,28.2,27.55,28.8,1.4,+5.22%,72,1006,71.78%
36,AAPL200529C00292500,2020-05-27 2:18PM EDT,292.5,23.85,25.1,26.35,-0.65,-2.65%,16,244,67.77%
37,AAPL200529C00295000,2020-05-27 3:30PM EDT,295.0,22.0,23.0,23.6,-0.03,-0.14%,265,1154,56.49%
38,AAPL200529C00297500,2020-05-27 3:45PM EDT,297.5,20.12,20.55,21.4,-0.42,-2.04%,111,398,58.25%
39,AAPL200529C00300000,2020-05-27 3:57PM EDT,300.0,18.1,17.6,18.95,0.9,+5.23%,508,2264,53.76%
40,AAPL200529C00302500,2020-05-27 3:33PM EDT,302.5,14.54,15.15,16.6,-0.11,-0.75%,66,605,50.73%
41,AAPL200529C00305000,2020-05-27 3:59PM EDT,305.0,13.5,12.8,13.55,1.16,+9.40%,4313,2892,35.30%
42,AAPL200529C00307500,2020-05-27 3:50PM EDT,307.5,10.88,10.45,11.4,0.74,+7.30%,358,1538,36.01%
43,AAPL200529C00310000,2020-05-27 3:59PM EDT,310.0,8.8,8.65,9.1,0.8,+10.00%,4307,2420,32.76%
44,AAPL200529C00312500,2020-05-27 3:58PM EDT,312.5,6.66,6.45,7.0,0.34,+5.38%,4395,2440,30.71%
45,AAPL200529C00315000,2020-05-27 3:59PM EDT,315.0,4.8,4.65,4.9,0.15,+3.23%,17587,4663,27.08%
46,AAPL200529C00317500,2020-05-27 3:59PM EDT,317.5,3.15,3.05,3.25,0.0,-,20982,4941,25.54%
47,AAPL200529C00320000,2020-05-27 3:59PM EDT,320.0,1.88,1.8,1.9,-0.25,-11.74%,38939,15815,23.76%
48,AAPL200529C00322500,2020-05-27 3:59PM EDT,322.5,1.05,0.97,1.08,-0.31,-22.79%,17317,8561,23.58%
49,AAPL200529C00325000,2020-05-27 4:00PM EDT,325.0,0.53,0.48,0.53,-0.3,-36.14%,22458,14579,23.00%
50,AAPL200529C00327500,2020-05-27 3:59PM EDT,327.5,0.25,0.24,0.25,-0.26,-50.98%,10521,6606,23.00%
51,AAPL200529C00330000,2020-05-27 3:59PM EDT,330.0,0.11,0.1,0.11,-0.21,-65.62%,10903,14189,23.15%
52,AAPL200529C00332500,2020-05-27 3:54PM EDT,332.5,0.07,0.04,0.07,-0.1,-58.82%,2289,2754,24.90%
53,AAPL200529C00335000,2020-05-27 3:59PM EDT,335.0,0.04,0.03,0.04,-0.08,-66.67%,3874,12538,26.17%
54,AAPL200529C00337500,2020-05-27 3:59PM EDT,337.5,0.02,0.01,0.02,-0.06,-75.00%,922,2687,26.95%
55,AAPL200529C00340000,2020-05-27 3:59PM EDT,340.0,0.01,0.0,0.01,-0.04,-80.00%,935,6046,27.34%
56,AAPL200529C00342500,2020-05-27 3:35PM EDT,342.5,0.01,0.0,0.02,-0.03,-75.00%,363,1357,32.81%
57,AAPL200529C00345000,2020-05-27 2:27PM EDT,345.0,0.01,0.0,0.01,-0.02,-66.67%,244,5462,32.81%
58,AAPL200529C00347500,2020-05-27 11:59AM EDT,347.5,0.01,0.0,0.01,-0.02,-66.67%,36,557,35.55%
59,AAPL200529C00350000,2020-05-27 2:26PM EDT,350.0,0.01,0.0,0.01,-0.01,-50.00%,194,3673,38.28%
60,AAPL200529C00355000,2020-05-27 1:30PM EDT,355.0,0.01,0.0,0.01,-0.01,-50.00%,1,1314,42.97%
61,AAPL200529C00360000,2020-05-26 3:59PM EDT,360.0,0.01,0.0,0.01,0.0,-,963,1174,48.44%
62,AAPL200529C00365000,2020-05-26 1:29PM EDT,365.0,0.01,0.0,0.01,0.0,-,261,1458,50.00%
63,AAPL200529C00370000,2020-05-22 3:48PM EDT,370.0,0.01,0.0,0.01,0.0,-,1,930,54.69%
64,AAPL200529C00375000,2020-05-26 11:04AM EDT,375.0,0.01,0.0,0.01,0.0,-,11,1224,59.38%
65,AAPL200529C00380000,2020-05-22 3:48PM EDT,380.0,0.01,0.0,0.01,0.0,-,62,1220,62.50%
66,AAPL200529C00385000,2020-05-26 9:30AM EDT,385.0,0.01,0.0,0.01,0.0,-,4,891,67.19%
67,AAPL200529C00390000,2020-05-27 9:30AM EDT,390.0,0.01,0.0,0.02,0.0,-,1,316,75.00%
